fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220929 022031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	869	TRUE	912031	0.00535475653274923	0.903249525149174	1571	995	8211	26940000	73
20220929 022412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	827	TRUE	912031	0.0242895108296182	0.858564987477928	5217	292	8023	26040000	74
20220929 023334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	714	TRUE	912031	0.00549338532526026	0.998400014079746	1489	714	8653	26860000	75
20220929 023503	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	912031	0.0292362173692739	0.718270065899544	5235	851	5902	25400000	76
20220929 030710	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	644	TRUE	912031	0.0051250120883148	0.999995155031512	259	1012	8035	26170000	77
20220929 032851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2135	TRUE	912031	0.00507650103372142	0.978033771803529	1027	281	5012	25020000	78
20220929 033432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	322	TRUE	912031	0.0109993335358744	0.458395532005523	1562	841	8253	26620000	79
20220929 034311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1814	TRUE	912031	0.00505376083784499	0.762756725801924	7633	436	8084	26080000	80
20220929 035110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	564	TRUE	912031	0.00602853300088667	0.903295900669006	1518	695	8326	27110000	81
20220929 040818	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1282	TRUE	912031	0.00542856761869257	0.2144994970695	982	1024	7895	26610000	82
20220929 061423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2367	TRUE	912031	0.00574590015091488	0.251972096509071	0	965	8018	26530000	83
20220929 062206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1495	TRUE	912031	0.00507117736368855	0.997601126406435	7260	253	5032	23700000	84
20220929 063130	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1680	TRUE	912031	0.0105606378385313	0.414652025584737	7996	332	12972	24940000	85
20220929 063157	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	912031	0.208242957533853	0.651919952961453	7603	572	8719	26650000	86
20220929 063249	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	116	TRUE	912031	0.0468066497377078	0.668452119731682	7996	641	6448	25590000	87
20220929 063317	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	912031	0.299885446056181	0.645100169489058	7563	386	9030	25460000	88
20220929 063337	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	912031	0.28157980312542	0.668856291564759	7296	796	8119	25290000	89
20220929 063450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	912031	0.0274837597427348	0.693592031979516	7204	554	10297	25730000	90
20220929 063539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	912031	0.212458874702195	0.201570580899804	7694	540	7514	25060000	91
20220929 063754	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	65	TRUE	912031	0.251856022884262	0.219297537118264	348	1024	7614	23740000	92
20220929 070241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1609	TRUE	912031	0.00527990736815574	0.200815665016199	660	844	7911	26980000	93
20220929 072159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2112	TRUE	912031	0.00503952969329387	0.20193651219533	1479	924	8124	26800000	94
20220929 085720	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1359	TRUE	912031	0.00536974887834119	0.214073541428295	8	841	5004	23520000	95
20220929 090433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	804	TRUE	912031	0.00502660700514685	0.919471235498219	3603	783	8339	25970000	96
20220929 092424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	806	TRUE	912031	0.00524847841554366	0.265901913585936	681	944	9737	26450000	97
20220929 094031	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1633	TRUE	912031	0.00603204574318456	0.201177369551977	1469	674	8273	26820000	98
20220929 095631	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1039	TRUE	912031	0.00589264332561422	0.224890289141887	905	495	8453	26540000	99
20220929 095757	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	912031	0.0842323333192642	0.215204962023817	842	633	8350	25700000	100
20220929 101519	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1626	TRUE	912031	0.00515330217558949	0.292701303571838	1566	482	13966	23990000	101
20220929 102432	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1137	TRUE	912031	0.00570759951229113	0.240813271721001	4524	274	8347	26190000	102
20220929 104941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1310	TRUE	912031	0.0050454303669919	0.85002516380751	569	817	8063	26200000	103
20220929 105019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	43	TRUE	912031	0.174110678723643	0.49296185171746	8000	133	8142	25160000	104
20220929 105044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	912031	0.181404622101665	0.999728652855312	7515	631	8543	25560000	105
20220929 110024	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1498	TRUE	912031	0.00505149728037028	0.727324606463957	4403	180	8847	26230000	106
20220929 110653	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	742	TRUE	912031	0.00535057695228327	0.999090813469674	2171	33	8848	26470000	107
20220929 110736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	912031	0.136376177479477	0.99961929724905	1934	164	8129	25910000	108
20220929 111128	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	912031	0.022630419212055	0.243943815624149	1306	754	7456	26290000	109
20220929 112046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1230	TRUE	912031	0.00530567202112129	0.200883932256363	914	25	7869	26990000	110
20220929 114002	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1883	TRUE	912031	0.00517787064882674	0.217772666169002	1554	273	7924	26400000	111
20220929 114939	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1652	TRUE	912031	0.00511310113837098	0.594221437168687	1437	17	8349	27230000	112
20220929 115833	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1268	TRUE	912031	0.00544760338471562	0.280291318763484	1744	17	7150	26420000	113
20220929 120358	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	694	TRUE	912031	0.00540919055182445	0.631379175439604	655	16	8753	26260000	114
20220929 121238	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	624	TRUE	912031	0.00747127232500173	0.76348120464211	1548	110	9168	26710000	115
20220929 121344	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	912031	0.0998199635878806	0.541987595857456	1233	18	7209	25750000	116
20220929 121920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	419	TRUE	912031	0.00696863433442894	0.560957286566329	1436	17	11776	25090000	117
20220929 122106	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	262	TRUE	912031	0.0210068361419702	0.801348645757893	1503	16	8231	26980000	118
20220929 122730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	947	TRUE	912031	0.00511316477098195	0.676396826800581	1452	22	7747	26430000	119
20220929 123009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	333	TRUE	912031	0.0181256374928843	0.360353943455118	1444	19	8417	27010000	120
20220929 123217	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282	TRUE	912031	0.0154332835541886	0.612589341964318	2240	16	8439	26410000	121
